Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
November,GoKwik,2020,New Delhi,Information Technology & Services,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,15000000,Series A
November,Velocity,2020,Bangalore,Financial Services,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,20000000,Series A
November,SalaryBox,2020,Gurugram,Financial Services,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000,Seed
November,Boingg,2019,Gurugram,Furniture,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,200000,Seed
November,Better Capital,2006,Santra,Venture Capital & Private Equity,Vaibhav Domkundwar,,15000000,
November,Tickertape,2019,Bangalore,Financial Services,Ujjwal Ankur,Smallcase,5000000,
November,Zenpay Solutions,2019,New Delhi,Financial Services,Ankit Bhargava,"The StarupLab, AngelBay",Undisclosed,
November,Disprz,2015,Mumbai,E-learning,"Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",13000000,Series B
November,Arbo Works,2021,"Mountain View, CA",Computer Software,Caesar Sengupta,Sequoia Capital,Undisclosed,
November,Inzpira,2021,Trivandrum,E-learning,"Rohith Namboothiri, Sruthy Ramesh","Raj Nair, Gopinath Latpate",300000,Seed
November,Defy,2021,Bangalore,Financial Services,"Bhagaban Behera, Sriharsha Setty, Nakul Kelkar","Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000,
November,Mindhouse,2019,Gurugram,"Health, Wellness & Fitness","Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst",6000000,Seed
November,Homversity,2017,Ahmedabad,Housing Marketplace,Saurav Kumar Sinha,,155000,
November,Toppersnotes,2015,Jaipur,Education Management,"Ayush Agarwal, Devendra Dhaka, Arpit Bansal",Inflection Point Ventures,1000000,Seed
November,NoBroker.com,2014,Bangalore,Real Estate,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures",2100000,Series E
November,Haber,2017,Pune,Industrial Automation,"Vipin Raghavan, Priya Venkat, Arjunan PN",Ascent Capital,20000000,Series B
November,True Balance,2014,Gurugram,Financial Services,Cheolwon Lee,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",30000000,
November,Recordent,2018,Hyderabad,Financial Services,Winny Patro,"Family Office of Kantamaneni, IIM Calcutta Innovation Park",400000,
November,Koparo,2020,New Delhi,Consumer Goods,Simran Khara,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",700000,Seed
November,Indifi,2015,Gurugram,Financial Services,Alok Mittal,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000,
November,Settl,2020,Bangalore,Real Estate,"Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle",500000,Seed
November,Park+,2019,New Delhi,Tech startup,Amit Lakhotia,"Sequoia Capital, Matrix Partners",25000000,Series B
November,Simple Energy,2019,Bangalore,Automotive,Suhas Rajkumar,,21000000,Pre-series
November,Dream Sports,2008,Mumbai,Sports,Harsh Jain,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global",840000000,
November,Spinny,2015,Gurugram,Automotive,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",248000000,Series E
November,Rentomojo,2014,Bangalore,Furniture Rental,Geetansh Bamania,"Accel, Bain Capital",10000000,
November,Slice,2015,Bangalore,Financial Services,"Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",220000000,Series B
November,21K School,2020,Bangalore,E-learning,"Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,5000000,Pre-series A
November,Adda247,2016,Gurugram,E-learning,"Anil Nagar, Saurabh Bansal",WestBridge Capital,20000000,Series B
October,Loop Health,2018,Pune,Hospital & Health Care,"Amrit Singh, Mayank Kale","Elevation, General Catalyst",12000000,
October,Rupifi,2020,Bangalore,Financial Services,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,1000000,Debt
October,RENEE Cosmetics,2019,Ahmedabad,Cosmetics,"Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns",1500000,Pre-series A
October,Svish,2020,Gurugram,Consumer Goods,"Ishan, Jaideep Mahajan",Nueva,400000,Seed
October,Progcap,2016,New Delhi,FinTech,"Pallavi Shrivastava, Himanshu Chandra",Tiger Global,30000000,Series C
October,Smartstaff,2020,Bangalore,Recruitment,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",4300000,
October,D’Moksha Homes,2020,Mumbai,Textiles,"Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000,Seed
