Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
March,Northern Arc,2008,Chennai,FinTech,Kshama Fernandes,"Asian Development Bank, U.S. International Development Finance Corp",50000000,Debt
February,Doubtnut,2016,Gurugram,EdTech,"Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000,Series B
February,Hubhopper,2015,New Delhi,Podcast,Gautam Raj Anand,"ITI Growth Opportunities Fund, Unit-E Ventures",Undisclosed,
February,Infra.Market ,2016,Thane,Construction,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners",100000000,Series C
February,Comofi Medtech,2017,Bangalore,HeathTech,"Satish Kalme, Kubasad Gururaj",CIIE.CO,200000,
February,Battery Smart,2019,New Delhi,Battery,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,Undisclosed,Seed
February,Kutuki,2017,Bangalore,EdTech,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000,Seed
February,Onelife,2019,Mumbai,Healthcare,Gaurav Aggarwal,Wipro venture capital arm,Undisclosed,
February,Eupheus,2017,New Delhi,EdTech,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000,Series B
February,KreditBee,2018,Bangalore,FinTech,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000,Series C
February,Pencil,2019,Mumbai,Content publishing,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, SucSEED Venture Partners",1000000,Pre-series A
February,Aisle,2014,Bangalore,Dating,Able Joseph,"Anas Rahman Junaid, Vinod Jose",Undisclosed,Pre-series A
February,Marquee Equity,2016,Mumbai,FinTech,Ash Narain,"Capital One, Arrowroot Capital",3800000,
February,UptimeAI,2016,Bangalore,AI startup,"Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,1500000,Seed
February,WizKlub,2018,Bangalore,EdTech,Amit Bansal,Incubate Fund India,800000,Pre-series A
February,Zolve,2020,Bangalore,FinTech,Raghunandan G,"Kunal Shah, Greg Kidd",15000000,Seed
February,MediBuddy,2000,Bangalore,EdTech,Satish Kannan,"InnoVen Capital, TEAMFund",3000000,Debt
February,Pariksha,2015,Pune,EdTech,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",2000000,Pre-series A
February,Express Stores,2019,Gurugram,E-commerce ,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal",1000000,Seed
February,Avataar Ventures,2019,Bangalore,FinTech,Mohan Kumar,,100000000,
February,Zingbus,2019,Haryana,Transportation,Mratunjay Beniwal,"Venture Catalysts, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A
February,Phable,2017,Bangalore,HealthTech,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts",12000000,Series A
February,Codingal,2020,Bangalore,EdTech,"Satyam Baranwal, Vivek Prakash","Y Combinator, Rebright Partners",Undisclosed,
February,Supply6,2018,Bangalore,Helathcare,"Rahul Jacob, Vaibhav Bhandari","Rohit Goutamchand, India CXO Fund",100000,Seed
February,Swajal,2015,Gurugram,Water purification,"Advait Kumar, Vibha Tripathi","Rajasthan Venture Capital Fund, ACPL Exports",1600000,Pre-series A
February,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani","Amplo, Insight Partners",100000000,Series D
February,Filo,2020,New Delhi,EdTech,"Imbesat Ahmad, Shadman Anwer",Better Capital,260000,Pre-seed
February,Method & Madness,2020,Mumbai,Real Estate,Aditya Jhaveri,Justin Mateen,2000000,Seed
February,EduFund,2020,Gujarat,FinTech,"Arindam Sengupta, Eela Dubey",View Trade Holding Corp,300000,Pre-seed
February,Pepperfry,2011,Mumbai,E-commerce ,"Ambareesh Murty, Ashish Shah","InnoVen Capital, Bertelsmann India Investments",30000000,Debt
February,Zingavita,2020,Chandigarh,HealthTech,"Rohit Anand, Sachin Goel",Anicut Angel Fund,400000,
February,Hypd Store,2020,New Delhi,Content commerce,"Ashwarya Garg, Akshay Bhatnagar",ScoopWhoop,Undisclosed,Pre-seed
February,VerSe Innovation,2007,Bangalore,Innovation Management,Virendra Gupta,"Canaan Valley Capital, Glade Brook Capital Partners",1000000000,Series H
February,Supersourcing,2020,Indore,Software company,"Mayank Pratap Singh, Aditi Chaurasia","Vijay Shekhar Sharma, Dr Ritesh Malik",200000,Seed
February,AutomataPi,2017,Powai ,Automation,"Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,400000,Seed
February,Newton School,2019,Bangalore,EdTech,"Nishant Chandra, Siddharth Maheshwari","RTP Global, Harshil Mathur",5000000,Series A
February,TenderCuts,2011,Chennai,Food Industry,Nishanth Chandran,"Paragon Partners, NABVENTURES",15000000,
February,Siply,2020,Bangalore,FinTech,"Sousthav Chakrabarty, Anil Bhat",Inflection Point Ventures,1000000,Seed
February,SarvaGram,2019,Mumbai,FinTech,"Utpal Isser, Sameer Mishra",Elevation Capital,10000000,Series B
February,Unlu,2020,Gurugram,Celebrity Engagement,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",EXPERT DOJO,1000000,Seed
February,GlobalFair,2020,Gurugram,Trading platform,"Ashish Chandra, Shaily Garg","Saama Capital, India Quotient",2000000,Seed
February,Eduvanz,2016,Mumbai,FinTech,"Atul Sashittal, Raheel Shah, Varun Chopra","InCred Financial Services, Vivriti Capital, Northern Arc Capital",10000000,Debt
February,OwO,2020,Gurugram,E-commerce ,Hardev Sahu,ah! Ventures,200000,
February,Progcap,2017,New Delhi,FinTech,"Pallavi Shrivastava, Himanshu Chandra","Somak Ghosh, M V Nair",1000000,Debt
February,ABL Workspaces,2017,New Delhi,Hospitality,"Ankur Gupta, Akshita Gupta",Wurk,600000,Pre-series A
February,Nazara Technologies,2000,Mumbai,Gaming,Nitish Mittersain,"Plutus Wealth Management, Turtle Entertainment",10000000,
February,Scentials,2018,Mumbai,Personal Care,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",6000000,
February,SplashLearn,2018,Gurugram,EdTech,"Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",18000000,Series C
February,Maya,2016,Bangalore,HealthTech,John Paul,Rajan Anadan,2200000,Seed
February,GoTo,2020,Ghaziabad,Transportation,"Akhilesh Sagar, Harsh Vardhan Sharma",Jesse Lucas,150000,
February,MediBuddy,2000,Bangalore,HealthTech,"atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners",40000000,Series B
February,Zetwerk,2018,Bangalore,E-commerce ,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",120000000,Series D
February,Remedico,2017,Hyderabad,Healthcare,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting",500000,
February,PrepBytes,2019,Gurugram,EdTech,"Aditya Bhushan Verma, Mamta Kumari",Equanimity Ventures,Undisclosed,
February,SATYA MicroCapital,2017,New Delhi,FinTech,Vivek Tiwari,"BlueOrchard Finance S A, Gojo & Company",20000000,
February,YourPhysio,2020,Nagpur,HealthTech,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital",350000,Pre-seed
February,Aviom Housing Finance,2016,New Delhi,FinTech,Kajal Ilmi,Gojo & Company,1000000,Debt
February,Hemp Horizons,2017,Noida,Cannabis startup,Rohit Shah,Mumbai Angels,200000,Seed
February,MPL,2018,Bangalore,Gaming,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",95000000,
February,Koo,2020,Bangalore,Blogging,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel",4100000,Series A
February,InnerHour,2016,Mumbai,Healthcare,Amit Malik,"Hitesh Oberoi, Lightbox",5200000,Series A
February,Origo,2010,Gurugram,AgriTech,"Sunoor Kaul, Mayank Dhanuka",YES Bank,10000000,Debt
February,ExMyB,2018,Gurugram,Consulting,Nishant Behl,Campus Fund,Undisclosed,Seed
January,Elucidata,2015,New Delhi,BioTechnology,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,5000000,Pre-series A
January,Saveo,2019,Bangalore,HealthTech,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global",4000000,Seed
January,Qin1,2019,Noida,EdTech,Ishan Gupta,Venture Catalysts,Undisclosed,Pre-series A
January,DotPe,2019,Gurugram,FinTech,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",8000000,Seed
January,Taskmo,2018,Bangalore,B2B Marketplace,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,1400000,
January,MasterMentors,2019,West Bengal,EdTech,"Suraj Juneja, Vijay Rachh, and Aaquib Hussain",,1500000,
January,KIKO TV,2020,Mumbai,E-commerce ,Shivam Varshney,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A
January,Quali55Care,2018,Mumbai,Health care,Harddik K Patel,India Accelerator’s Angel Investor Network,Undisclosed,Seed
January,Ruptok,2020,New Delhi,FinTech,"Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,10000000,
January,RevFin,2018,New Delhi,FinTech,Sameer Aggarwal,Shell Foundation,Undisclosed,
January,SeeVC,2020,New Delhi,Tech Startup,"Shivam Sood, Lark Aakarshan",Jimmy Singh,1000000,Seed
January,Junio,2020,New Delhi,EdTech,Shankar Nath,"Kunal Shah, Deepak Abbot",1000000,
January,VenWiz,2020,Bangalore,B2B service,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",300000,Seed
January,Vista Rooms,2015,Mumbai,Hospitality,"Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",1000000,
January,Makers Hive,2018,Hyderabad,Tech Startup,Pranav Vempati,"Starfish Growth Partners, Investpad",9000000,
January,Headfone,2017,Bangalore,Social audio ,"Pratham Khandelwal, Yogesh Sharma",Hashed,3000000,Seed
January,Zouk,2016,Mumbai,Fashion and lifestyle,Disha Singh,Titan Capital,Undisclosed,Seed
January,MPL,2018,Bangalore,Gaming,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000,
January,GrowFix,2020,Bangalore,FinTech,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital",2000000,Seed
January,Bombay Shaving Company,2016,New Delhi,Fashion and lifestyle,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",6000000,
January,Dunzo,2015,Bangalore,Delivery service,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",40000000,Series E
January,BeyondSkool,2020,Mumbai,EdTech,Payal Gaba,Tomorrow Capital,2000000,Seed
January,Mindler,2015,New Delhi,EdTech,Prateek Bhargava,"Inflection Point Ventures, DLabs",1000000,Pre-series A
January,Fashinza,2020,Gurgaon,B2B Manufacturing,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",2600000,Seed
January,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",6000000,Debt
January,Turnip,2020,Bangalore,Gaming,"Aditya Sharma, Pooja Dubey",Elevation Capital,1600000,Seed
January,Furlenco,2012,Bangalore,Home Decor,Ajith Karimpana,BlackSoil Capital,2000000,
January,Inficold,2015,New Delhi,Solar ,"Himanshu Pokharna, Nitin Goel",Shell Foundation,900000,Pre-series A
January,KIWI,2020,New Delhi,TaaS startup,"Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",250000,Seed
January,Digit Insurance,2016,Bangalore,FinTech,Kamesh Goyal,"A91 Partners, Faering Capital",Undisclosed,
January,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",10000000,Debt
January,MFine,2017,Bangalore,Health care,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli","Blockchain Capital, SBI Ven Capital",16000000,
January,Udayy,2019,Gurgaon,EdTech,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,2500000,Seed
January,Lohum,2017,Noida,EV startup,Rajat Verma,"Baring Private Equity Partners India, Talbros",7000000,
January,Darwinbox,2015,Hyderabad,HR Tech,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3one4 Capital",15000000,
January,DeHaat,2012,Patna,AgriTech,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",30000000,Series C
January,Samunnati,2014,Chennai,AgriTech,Anil Kumar,"U.S. International Development Finance Corp, responsAbility",10000000,Debt
January,Biconomy,2019,New Delhi,Blockchain startup,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",1500000,Seed
January,True Elements,2011,Pune,Food and Beverages,"Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,1000000,
January,Siply,2020,Bangalore,FinTech,Sousthav Chakrabarty,Inflection Point Ventures,1000000,Seed
January,Nao Spirits & Beverages Pvt Ltd,2016,New Delhi,Beverages,Anand Virmani ,,2000000,Series A
January,PurpleTutor,2019,Mumbai,EdTech,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,300000,Seed
January,Karkhana.io ,2018,Mumbai,Manufacturing startup,Sonam Motwani,Zone Startups In,1500000,Seed
January,SSA Finserv,2019,Mumbai,FinTech,Vikas Agarwal,Blue Ashva Capital,3000000,
January,CoinSwitch Kuber,2017,Bangalore,Cryptocurrency,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",15000000,Series A
January,Paperfly,2016,Bangalore,E-commerce ,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,11000000,
January,Infra.Market,2016,Thane,E-commerce ,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,6000000,Debt
January,ReadyAssist,2018,Bangalore,Vehicle repair startup,Vimal Singh SV,Satish Grampurohit,1000000,Seed
January,Chalo,2014,Mumbai,IT,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000,
January,Unacademy,2015,Bangalore,EdTech,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000,
January,Ergos,2012,Samsitpur,AgriTech,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",3000000,Series A
January,Bolkar,2018,Bangalore,Social network,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai","GSF, Pras Hanuma",Undisclosed,
January,Wright Research,2019,Mumbai,Advisory firm,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",Undisclosed,Pre-seed
January,Knocksense,2016,Lucknow,Media,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000,
January,Pariksha,2015,Pune,EdTech,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",1800000,
January,Toothsi,2018,Mumbai,Healthcare,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000,Series A
January,Jumbotail,2015,Bangalore,Food and Beverages,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",14300000,Series B3
January,Phi Commerce,2015,Pune,FinTech,"Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",4000000,Series A
January,Zupee,2018,Gurgaon,Gaming,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000,
January,Oneiric Gaming,2020,Chandigarh,Gaming,Avneet Singh,Trishneet Arora,Undisclosed,
January,Finsall,2019,Bangalore,Insuretech,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000,Seed
January,Legalwiz.in ,2015,Ahmedabad,Legaltech,"Shrijay Sheth, Gaurav Barot",ContCentric,500000,
January,Practically,2018,Telangana,EdTech,Subbarao Siddabattula,Siana Capital,4000000,Pre-series B
January,Cred,2018,Bangalore,FinTech,Kunal Shah,"DST Global, General Catalyst",81000000,Series C
January,Devic Earth,2018,Bangalore,Pollution control equiptment,Dr Srikanth Sola,Blue Ashva Capital,1000000,
January,Zerone,2018,Gurgaon,FinTech,Jaijit Bhattacharya,Anthill Ventures,1300000,Pre-series A
January,boAt,2016,Mumbai,Fashion & Lifestyle,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",100000000,PE
January,Pocket Aces,2013,Mumbai,Media,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",2000000,
January,Kyt,2020,Bangalore,EdTech,"Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000,Series A
January,iMumz,2019,Bangalore,Healthcare,"Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",300000,
January,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000,Debt
January,CropIn,2010,Bangalore,AgriTech,Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000,Series C
January,Udaan,2016,Bangalore,E-commerce ,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",280000000,
January,Vanity Wagon,2018,Haryana,Cosmetics,Prateek Ruhail,"Dhianu Das, Agility Venture Partners",200000,Seed
January,Oyo,2012,Gurgaon,Hospitality,Ritesh Agarwal,Hindustan Media Venture,7000000,Series F1
January,Agri10x,2018,Pune,AgriTech,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,Undisclosed,Seed
January,BlackSoil,2016,Mumbai,FinTech,Ankur Bansal,Awign Enterprises,4000000,
January,HobSpace,2019,Mumbai,EdTech,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",100000,Pre-series A1
January,DcodeAI,2020,New Delhi,EdTech,"Kartik Sharma, Ashish Aggarwal",S Chand,500000,
January,Biocon Biologics,1978,Bangalore,BioTechnology,Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000,
January,KiranaKart,2020,Mumbai,E-commerce ,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000,Pre-seed
January,Meddo,2018,Gurgaon,Healthcare,Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000,Pre-series A
,Dyte,2020,Bengaluru,IT Services and IT Consulting,"Felix Lee,Vivan",Multiples,"$15,300,000",undisclosed
,Kirana Bazaar,2018,Gurgaon,Oline grocery,"Abhishek Halder, Anilesh Yadav",Multiples,"$32,800,000",undisclosed
,Phool,2017,kanpur,Enviromental Engineering,Ankit Agrawal,Multiples,"$9,400,000",undisclosed
,Doceree,2019,Parsippany,Information Technology & Services,"Daleep Manhas, Harshit Jain, Stephen Hoelper",Multiples,"1,20,00,000",undisclosed
,Acko,2016,Mumbai,Health insurance,,Multiples,"$458,000,000",Series D
,FirstCry,2010,Pune,Online shopping,"Amitava Saha, Prashant Jadhav, Sanket Hattimattur, Supam Maheshwari",Multiples,"$74,140",undisclosed
,Meesho,2015,Bangalore,Online shopping,"Sanjeev Barnwal, Vidit Aatrey",Multiples,"$1,100,000,000",Series F
,NoBroker,2013,Bangalore,Housing rent,"Akhil Gupta, Amit Agarwal,",Multiples,"$426,000,000",Series E
,Paytm,2010,Noida,Financial services,"Akshay Khanna, Vijay Shekhar",Multiples,"$1,200,000,000",undisclosed
,ShareChat,2015,Bangalore,Social networking,"Ankush Sachdeva, Bhanu",Multiples,"$1,400,000,000",Series G
,Spinny,2015,,Financial services,"Ganesh Pawar, Mohit Gupta",Multiples,"$513,500,000",Series E
,Swiggy,2014,Bangalore,Food delivery platform,"Nandan Reddy, Phani Kishan",,Undisclosed,undisclosed
,Unacademy,2015,Bangalore,E-learning,"Gaurav Munjal, Hemesh Singh",Multiples,"$838,500,000",Series H
,Urban Company,2014,Gurgaon,E-commerce,"Abhiraj Singh Bhal, Raghav",Multiples,"$445,900,000",Series H
,Xpressbees,2015,Pune,E-commerce Logistics,"Amitava Saha, Supam",Multiples,"$577,600,000",Series F
,Accel,1983,Palo Alto,Financial services,"Arthur Patterson, Jim Swartz",Multiples,"$18,300,000,000",undisclosed
,MTR Foods,1924,Bangalore,Food packaging,Yagnanarayana Maiya,Multiples,Undisclosed,undisclosed
,Oyo,2012,Gurgaon,Travel Arrangements,Ritesh Agarwal,Multiples,"$550,000,000",Series F
,Eruditus,2010,Bangalore,Education Management,"Ashwin Damera, Chaitanya",Multiples,"$1,200,000,000",Series E
,Ola,2010,Kormangala,Travel Arrangements,"Ankit Bhati, Bhavish Aggarwal",,"$5,000,000,000",Series J
,DailyHunt,2007,Bangalore,Media,"Chandu Sohoni, Umang Bedi,",,"$2,200,000",undisclosed
,CARS24,2015,Gurgaon,Automobile,"Gajendra Jangid, Mehul Agrawal,",Multiples,"$1,300,000,000",Series G
,Pine Labs,1998,Noida,Information Technology & Services,"Rajul Garg, Tarun Upaday",,"$1,200,000,000",undisclosed
,BharatPe,2018,New delhi,Financial services,"Ashneer Grover, Bhavik Koladiya",Multiples,"$700,500,000",Series E
,Blackbuck,2015,Bengaluru,Information services,"Chanakya Hridaya, Rajesh Yabaji,",Multiples,"$364,000,000",Series E
,Droom,2014,Haryana,Automotive,Sandeep Agrawal,Multiples,"$333,000,000",Series F
,MindTickle,2011,San Francisco,Software company,"Deepak Diwakar, Krishna Depura",Multiples,"$281,000,000",Series E
,Vedantu,2011,Bangalore,E-learning,"Anand Prakash, Pulkit Jain",Multiples,"$292,900,000",Series E
,CoinDCX,2018,Mumba,Currency exchange,"Neeraj Khandelwal, Sumit Gupta",Multiples,"$109,000,000",Series C
,Razorpay,2014,Bangalore,Financial services,"Harshil Mathur, Shashank Kumar",Multiples,"$741,600,000",Series F
,Licious,2015,Bengaluru,Food,"Abhay Hanjura, Varun Sadana, Vivek Gupta",Multiples,"$488,700,000",Series F
,CoinSwitch Kuber,2017,Bangalore,Financial services,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Multiples,"$300,600,000",Series C
,Zeta,2015,San Francisco,Financial services,"Bhavin Turakhia, Ramki Gaddipati",Multiples,"$30,000,000",
,Rebel Foods,2010,Pune,Online food service,Rvi Shankar venkatranam,,"$14,500,000",Series F
,Gupshup,2004,San Francisco,Service provider,Amit Shrivastav and Nilesh Shivaji,,"$240,000,000",Series F
,IndiQube,2015,Bengaluru,Design,"Rishi Das,Meghna Agarwal",Ashish Gupta,"$30,000,000",Series S
,Verse Innovation,2007,Bengaluru,Internet Publishing,"Umang Bedi, Virendra Gupta",Multiples,"$1,700,000,000",Series J
,Lenskart,2010,Faridabad,E-commerce,"Amit Chaudhary, Peyush Bansal",Multiples,"$899,300,000",Series I
,Upstox,2010,Mumbai,Financial services,"Raghu Kumar, Ravi Kumar, Shrinivas Viswanath",Tiger Global Management and GVK Davix Technologies,"$29,000,000",undisclosed
,Appsforbharat,2020,Bangalore,Information technology,Prashant Sachan,Mirae Asset Global Investments and MSA Novo,$23000000,undisclosed
,OkCredit,2017,Faridabad,Financial services,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",Google for Startups and Lightspeed India Partners,$84.2,undisclosed
,Livspace,2014,Bengaluru,E-commerce,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",Jungle Ventures and Peugeot SA,$431.6,Series F
,Rigi,1871,"Vitznau, Luzern,",Tourism,,Content creator platform Rigi.Club,Undisclosed,undisclosed
,MobiKwik,2009,Gurgaon,Financial services,"Bipin Singh, Chandan Joshi, Upasana Taku",Abu Dhabi Investment Authority and Dosch,$165.5,Series G
,Amagi Media Labs,2008,Newyork,Media andEntertainment,"Baskar Subramanian, Srinivasan KA, Srividhya Srinivasan",Avataar Venture partners,$240.2,undisclosed
,Myntra,2007,Banglore,E-commerce,"Ashutosh Lawania, Mukesh Bansal, Raveen Sastry, Sankar Bora, Vineet Saxena","FK Myntra Holdings,QuickRoutes International",Undisclosed,undisclosed
,Philips Electronics,1929,Amsterdam,Electronics,"Frederik Philips, Gerard Philips",,Undisclosed,undisclosed
,WayCool,2015,Chennai,Food processing,"Karthik Jayaraman, Sanjay Dasari",GAWA Capital and Lightbox,$221.5,Series D
,MoEngage,2014,San Francisco,Information technology,"Raviteja Dodda, Yashwanth Kumar","Eight Roads Ventures, Matrix Partners Ind","13,30,00,000",undisclosed
,Mahindra Logistics,2000,Mumbai,Logistics,"J C Mahindra, K C Mahindra",Birla Sun Life Insurance and HDFC Trustee,"$2,500,000,000",undisclosed
,Enphase Energy,2006,Petaluma,Solar,"Isidoro Quiroga, Martin Fornage, Raghu Belu",T.J. Rodgers and John Doerr,"$116,000,000",undisclosed
,Allegis Group,1983,Maryland,Human resources,"Jim C. Davis, Stephen Bisciotti",Vouch Insurance,"$60,000,000",Series C
,Slice,2010,Newyork,Food &bevrages,Iler Sela,Kohlberg Kravis Roberts and Dick Costolo,"$125,000,000",Series D
,Tata Digital,2019,Mumbai,Internet,,Temasek Holdings and SoftBank Capital,"$50,000,000",undisclosed
,UpGrad,2015,Mumbai,E-learnig,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",IIFL Finance and International Finance Corporation,"$201,000,000",undisclosed
,Hitachi,1959,Tokyo,Industrial Manufacturing,"Namihei Odaira, Nuri Nuranisari, Santana jordan isaiah Henry",Mountain View data,Undisclosed,undisclosed
,Chargebee,2011,San Francisco,Software,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan Thiyagu",Sequoia Capital India and Insight Partners,"$468.200,000",Series H
,Fivetran,2012,Oakland,Analytics,"George Fraser, Taylor Brown",General Catalyst and ICONIQ Capital,"$728.100,000",Series-D
,Euler,2020,London,Financial services,"Doug Hoyte, Jack Prior, Michael Bentley",Danilo S. Carlucci and CMT Digital Ventures,Undisclosed,Series A
,Ecom Express,2012,New delhi,Logistics,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",CDC Group and Partners Group,$485,undisclosed
,Wooden Street,2015,Jaipur,Home decor,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat",WestBridge Capital and IAN Fund,"$34.100,000",Series B
,Chalo,2014,Mumbai,Information technology,"Dhruv Chopra, Mohit Dubey, Nikhil Aggarwal, Priya Singh, Vinayak Bhavnan",Matrix Partners and Lightrock,"$61,000,000",Undiclosed
,FreshMenu,2014,Banglore,Food processing,Rashmi Daga,Florintree Advisors and Srinivas Anumolu,"$32.400,000",Series C
,Nykaa,2012,Mumbai,"Beauty,Fashion",Falguni nyer,Fidelity Management and Research Company and Alia Bhatt,"$148.500,000",undisclosed
,Classplus,2018,Noida,E-learning,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustag",Alpha Wave Ventures and Chimera Investm,"$129.500,000",Series D
,Skillmatics,2016,Mumbai,Education,"Devanshi Kejriwal, Dhvanil Sheth",Sequoia Capital India and Sofina,$23,Series B
,Mamaearth,2016,Gurgaon,"Health, Wellness","Ghazal Alagh, Varun Alagh",Evolvence India Fund and Sofina,"$110.800,000",Unknown
